CustomerID,Electronics,Clothing,Home_Kitchen,Books,Toys,Beauty,Groceries,Automotive,Health,Jewelry,Office_Supplies,Sports,Outdoor,Pet_Supplies,Music,Video_Games,Furniture,Appliances,Movies,Garden
1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0
2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
3,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0
4,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1
5,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
6,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0
7,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0
8,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1
9,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
10,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0
